title = "elemental data"
variables = "time (yr)", "temp (deg. c)","qx(m/yr)","qz(m/yr)","x(m)","z(m)","mat","head(m)"
text  x=50.0,y=50.0,t="element # 12831 "
zone f="point",i=  3000
   260.000000000000  24.1260812925508 -8.437694987151190E-015 -3.552713678800501E-014  245333.333333333  99433.3333333334  3  99999.9999999994
   270.000000000000  24.1234569239205 -8.659739592076221E-015 -3.197442310920451E-014  245333.333333333  99433.3333333334  3  99999.9999999994
   280.000000000000  24.1206310976587 -8.881784197001252E-015 -3.197442310920451E-014  245333.333333333  99433.3333333334  3  99999.9999999994
   290.000000000000  24.1176014659733 -8.881784197001252E-015 -3.197442310920451E-014  245333.333333333  99433.3333333334  3  99999.9999999994
   300.000000000000  24.1143662667514 -8.881784197001252E-015 -3.197442310920451E-014  245333.333333333  99433.3333333334  3  99999.9999999994
   310.000000000000  24.1109242895218 -9.325873406851315E-015 -3.552713678800501E-014  245333.333333333  99433.3333333334  3  99999.9999999994
   320.000000000000  24.1072748406691 -9.547918011776346E-015 -3.197442310920451E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   330.000000000000  24.1034177084697 -9.769962616701378E-015 -3.197442310920451E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   340.000000000000  24.0993531284083 -1.021405182655144E-014 -3.552713678800501E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   350.000000000000  24.0950817491434 -1.043609643147647E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   360.000000000000  24.0906045994067 -1.043609643147647E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   370.000000000000  24.0859230560540 -1.065814103640150E-014 -3.552713678800501E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   380.000000000000  24.0810388134258 -1.065814103640150E-014 -3.552713678800501E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   390.000000000000  24.0759538541273 -1.065814103640150E-014 -3.552713678800501E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   400.000000000000  24.0706704212980 -1.065814103640150E-014 -3.552713678800501E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   410.000000000000  24.0651909924069 -1.065814103640150E-014 -3.552713678800501E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   420.000000000000  24.0595182545846 -1.065814103640150E-014 -3.552713678800501E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   430.000000000000  24.0536550814796 -1.065814103640150E-014 -3.552713678800501E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   440.000000000000  24.0476045116134 -1.065814103640150E-014 -3.552713678800501E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   450.000000000000  24.0413697281928 -1.065814103640150E-014 -3.552713678800501E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   460.000000000000  24.0349540403301 -1.065814103640150E-014 -3.552713678800501E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   470.000000000000  24.0283608656152 -1.065814103640150E-014 -3.552713678800501E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   480.000000000000  24.0215937139788 -1.065814103640150E-014 -3.552713678800501E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   490.000000000000  24.0146561727821 -1.065814103640150E-014 -3.552713678800501E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   500.000000000000  24.0075518930691 -1.065814103640150E-014 -3.552713678800501E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   510.000000000000  24.0002845769150 -1.065814103640150E-014 -3.552713678800501E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   520.000000000000  23.9928579658066 -1.132427485117660E-014 -4.263256414560601E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   530.000000000000  23.9852758299918 -1.088018564132653E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   540.000000000000  23.9775419587354 -1.043609643147647E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   550.000000000000  23.9696601514223 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   560.000000000000  23.9616342094526 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   570.000000000000  23.9534679288715 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   580.000000000000  23.9451650936852 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   590.000000000000  23.9367294698126 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   600.000000000000  23.9281647996266 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   610.000000000000  23.9194747970428 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   620.000000000000  23.9106631431133 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   630.000000000000  23.9017334820895 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   640.000000000000  23.8926894179156 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   650.000000000000  23.8835345111228 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   660.000000000000  23.8742722760896 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   670.000000000000  23.8649061786417 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   680.000000000000  23.8554396339637 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   690.000000000000  23.8458760047971 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   700.000000000000  23.8362185999025 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   710.000000000000  23.8264706727620 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   720.000000000000  23.8166354205049 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   730.000000000000  23.8067159830352 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   740.000000000000  23.7967154423449 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   750.000000000000  23.7866368219973 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   760.000000000000  23.7764830867642 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   770.000000000000  23.7662571424053 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   780.000000000000  23.7559618355744 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   790.000000000000  23.7455999538431 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   800.000000000000  23.7351742258296 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   810.000000000000  23.7246873214233 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   820.000000000000  23.7141418520949 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   830.000000000000  23.7035403712853 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   840.000000000000  23.6928853748628 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   850.000000000000  23.6821793016437 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   860.000000000000  23.6714245339680 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   870.000000000000  23.6606233983247 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   880.000000000000  23.6497781660206 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   890.000000000000  23.6388910538875 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   900.000000000000  23.6279642250234 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   910.000000000000  23.6169997895618 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   920.000000000000  23.6059998054672 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   930.000000000000  23.5949662793507 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   940.000000000000  23.5839011673044 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   950.000000000000  23.5728063757494 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   960.000000000000  23.5616837622965 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   970.000000000000  23.5505351366153 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   980.000000000000  23.5393622613101 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   990.000000000000  23.5281668528006 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1000.00000000000  23.5169505822049 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1010.00000000000  23.5057150762229 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1020.00000000000  23.4944619180187 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1030.00000000000  23.4831926481013 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1040.00000000000  23.4719087652001 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1050.00000000000  23.4606117271365 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
   1060.00000000000  23.4493029516888 -1.021405182655144E-014 -3.907985046680551E-014  245333.333333333  99433.3333333334  3  99999.9999999993
